surah_number,ayah_from,ayah_to,topic_id,topic,notes
7,160,160,103,"من نعم الله على بني إسرائيل",""
7,161,162,302,"أمر الله بني إسرائيل بأوامر ووعدهم بالمغفرة والزيادة ومخالفتهم للأوامر وعقوبتهم",""
7,163,171,404,"تحايل بني إسرائيل على الصيد يوم السبت وعقابهم ورفع الجبل فوقهم",""
7,172,174,105,"أخذ العهد على بني آدم وذلك بفطرتهم على الإسلام",""
7,175,178,701,"ضرب المثل ببلعام بن عوراء",""
7,179,179,302,"أهل جهنم وصفاتهم ووعيدهم",""
7,180,180,105,"لا يجوز الدعاء إلا بأسماء الله الحسنى التوقيفية",""
7,181,181,202,"من الناس مهتدون",""
7,182,186,302,"الضالون الذين يأبون الدعوة إلى التفكر في حقيقة النبي والنظر في آيات الله",""
7,187,187,304,"لا يعلم متى الساعة إلا الله",""
7,188,188,401,"رسول الله بشر لا يملك لنفسه نفعًا ولا ضرًا ولا يعلم الغيب",""
7,189,193,302,"طبيعة المشركين وافتراءاتهم",""
7,194,198,305,"الرد على المشركين وافتراءاتهم",""
7,199,206,202,"توجيهات للأخلاق الفاضلة والإنصات للقرآن وحقيقة المؤمنين",""
8,1,1,501,"حكم الغنائم",""
8,2,4,202,"صفات المؤمنين",""
8,5,14,402,"قصة غزوة بدر",""
8,15,16,501,"تحريم الفرار من القتال",""
8,17,19,103,"ما أنعم الله به على أهل بدر",""
8,20,29,202,"الأمر بطاعة الله ورسوله والحض على الاستجابة للدعوة والتحذير من المخالفة والخيانة وبيان ثمرات التقوى",""
8,30,35,302,"مكر المشركين بالنبي ﷺ وعقابهم",""
8,36,40,302,"إنفاق المشركين الأموال للصد عن سبيل الله وعقوبتهم في الدنيا والآخرة",""
8,41,41,501,"حكم تقسيم الغنائم",""
8,42,44,103,"تذكير بنعمة الله بالنصر في بدر",""
8,45,47,202,"أمر المؤمنين بالثبات في القتال وطاعة الله ورسوله وعدم التنازع وبالإخلاص",""
8,48,49,302,"مكر الشيطان وخديعته لأتباعه وقول المنافقين في المؤمنين",""
8,50,51,302,"تخويف الكفار بشدة العذاب عند الاحتضار",""
8,52,54,701,"ضرب المثل بآل فرعون ومن قبلهم لالتقاط بهم",""
8,55,59,302,"بيان بعض صفات الكفار وكيفية معاملتهم",""
8,60,61,203,"الأمر بإعداد القوة للأعداء إلا إن جنحوا للسلم بلا خديعة منهم",""
8,62,64,103,"نعمة الله على النبي والمؤمنين بالتأييد وتأليف القلوب بشكل عجيب",""
8,65,66,203,"التحريض على القتال",""
8,67,71,501,"حكم الأسرى في الحرب والغنائم",""
8,72,75,202,"رابطة الإسلام أقوى الروابط",""
8,73,73,302,"رابطة الإسلام أقوى الروابط",""
9,1,6,501,"البراءة من عهود المشركين وتفصيل أحكام معاملتهم",""
9,7,15,302,"صفات المشركين وطبائعهم في معاملة المؤمنين والأمر بقتالهم",""
9,16,16,203,"متابعة الحض على الجهاد",""
9,17,18,203,"عمارة المساجد بالبناء أو الإقامة فيها لا تكون إلا للمسلمين",""
9,19,19,305,"الرد على المشركين في زعمهم عمارة المسجد الحرام دون إيمان منهم",""
9,20,22,202,"فضل المؤمنين المجاهدين وجزاؤهم",""
9,23,24,501,"تحريم تولي الكفار ولو كانوا أولي قربى",""
9,25,27,103,"فضل الله على المؤمنين بالنصر على الأعداء وخاصة يوم حنين",""
9,28,28,501,"تحريم دخول المشركين المسجد الحرام",""
9,29,29,501,"الأمر بالقتال وحكم الجزية",""
9,30,33,305,"الرد على ضلالات المشركين بنسبة أبناء لله سبحانه",""
9,34,35,302,"أكل أموال الناس بالباطل من قبل كثير من الأحبار والرهبان وعقابهم",""
9,36,37,501,"الأشهر الحرم وتلاعب المشركين بها",""
9,38,41,203,"الأمر بالجهاد والتحذير من تركه والتذكير بنصر الله نبيه بمعجزة الغار",""
9,42,59,302,"فضح المنافقين في إظهار نواياهم السيئة",""
9,60,60,501,"الجهات الثمانية التي تصرف لها الزكاة الواجبة",""
9,61,70,302,"المنافقون، صفاتهم وجزاؤهم",""
9,71,72,202,"المؤمنون، صفاتهم وجزاؤهم",""
9,73,73,203,"الأمر بجهاد الكفار والمنافقين",""
9,74,87,302,"المنافقون، أحوالهم وجزاؤهم وفرحهم بالتخلف عن الجهاد",""
9,88,89,203,"جهاد الرسول والمؤمنين وجزاؤهم",""
9,90,93,501,"بيان أنواع المعتذرين وحكم كل منهم",""
9,94,96,302,"كذب المعتذرين من المنافقين وحلفهم الكاذب",""
9,97,98,302,"الكافرون والمنافقون من الأعراب أشد كفرًا ونفاقًا",""
9,99,99,202,"المؤمنون من الأعراب وجزاؤهم",""
9,100,100,202,"المؤمنون من أهل المدينة",""
9,101,102,302,"المنافقون من أهل المدينة والمخلفون منهم وجزاؤهم",""
9,103,106,202,"فضل الصدقة والتوبة والعمل الخالص له",""
9,107,110,501,"مسجد الضرار والفرق بينه وبين مسجد قباء والمؤمنين",""
9,111,112,202,"التجارة الرابحة وصفات أهلها وبشارتهم",""
9,113,116,501,"تحريم الاستغفار للمشركين وبيان أسباب استغفار إبراهيم لأبيه",""
9,117,119,402,"توبة الله على أهل غزوة تبوك",""
9,120,123,203,"فضل أهل المدينة بجهادهم مع رسول الله ﷺ وجزاؤهم وفضل العلم",""
9,124,124,202,"موقف المؤمنين من نزول السور",""
9,125,127,302,"موقف المنافقين من نزول السور",""
9,128,129,401,"بعض صفات رسول الله ﷺ",""
10,1,2,601,"القرآن الكريم والوحي وبشرية الرسول وموقف المشركين من ذلك",""
10,1,2,305,"القرآن الكريم والوحي وبشرية الرسول وموقف المشركين من ذلك",""
10,3,6,102,"من دلائل عظمة الله سبحانه وصفاته وقدرته على كل شيء",""
10,7,8,302,"المنكرون ليوم القيامة وجزاؤهم",""
10,9,10,202,"المؤمنون وجزاؤهم وسمى صفاتهم",""
10,11,12,303,"من طبائع أكثر الناس",""
10,13,14,104,"سنة الله في إهلاك الظالمين واستخلاف المؤمنين",""
10,15,16,601,"القرآن الكريم وحي من الله لا يجوز للرسول تبديل شيء منه وموقف المشركين منه والرد عليهم",""
10,17,20,305,"من جهالات المشركين والرد عليهم",""
10,21,23,302,"طبيعة الناس في السراء والضراء",""
10,24,24,701,"ضرب مثل للحياة الدنيا",""
10,25,26,202,"الهداية من الله وجزاء المهتدين",""
10,27,30,302,"جزاء العصاة والمشركين يوم القيامة",""
10,31,36,305,"إقامة الحجة على المشركين لإثبات التوحيد وإبطال الشرك",""
10,37,44,602,"تحدي القرآن للمشركين أن يأتوا بمثله",""
10,45,56,304,"تهديد المشركين بالحشر وتكذيبهم بذلك ومآلهم القيامة",""
10,57,58,601,"القرآن ومهمته",""
10,59,60,305,"افتراء المشركين وتهديدهم",""
10,61,61,102,"إحاطة علم الله سبحانه بكل شيء",""
10,62,64,202,"من هم أولياء الله وما هو جزاؤهم",""
10,65,70,305,"تهديد المشركين ونقاشهم ورد مزاعمهم",""
10,71,74,404,"قصة نوح ومن بعده من الرسل",""
10,75,93,404,"قصة موسى مع فرعون وملئه وعاقبة كل منهم",""
10,94,97,105,"القرآن حق من عند الله وتهديد لمن يخالفه",""
10,98,98,404,"قصة يونس مع قومه",""
10,99,100,102,"مشيئة الله هي النافذة في الكون",""
10,101,102,101,"الأمر بالتفكير للوصول إلى الحق وتهديد للكافرين",""
10,103,103,202,"نجاة المؤمنين مع رسل الله",""
10,104,107,105,"توحيد الله بالعبادة والاعتقاد",""
10,108,109,105,"توجيهات إلهية للناس وللنبي ﷺ بأن الإسلام حق يجب اتباعه",""
11,1,5,601,"القرآن مصادره ومهمته وموقف المشركين منه",""
11,6,7,102,"سعة فضل الله وسعة علمه وقدرته وموقف المشركين من البعث",""
11,8,10,302,"موقف المشركين من النبي ونقمهم وجزاؤهم",""
11,11,11,202,"موقف المؤمنين من النعيم والنقم وجزاؤهم",""
11,12,12,401,"ضيق صدر رسول الله ﷺ لعناد المشركين وتوجيه الله له",""
11,13,14,602,"تحدي الله للمشركين أن يأتوا بمثله",""
11,15,16,302,"الكافر يؤثر الدنيا على الآخرة وجزاؤه",""
11,17,17,302,"لا يستوي المؤمنون والكافرون وجزاء الكافرين",""
11,18,22,302,"الكافرون، بعض أوصافهم وجزاؤهم",""
11,23,23,202,"المؤمنون، بعض أوصافهم وجزاؤهم",""
11,24,24,701,"ضرب المثل للكافر والمؤمن",""
11,25,49,404,"قصة نوح عليه السلام",""
11,50,60,404,"قصة هود عليه السلام",""
11,61,68,404,"قصة صالح عليه السلام",""
11,69,76,404,"قصة إبراهيم عليه السلام وبشارته بهلاك قوم لوط",""
11,77,83,404,"قصة لوط عليه السلام",""
11,84,95,404,"قصة شعيب عليه السلام",""
11,96,99,404,"قصة موسى عليه السلام",""
11,100,102,104,"سنة الله في إهلاك العباد بظلمهم بعد إمهالهم",""
11,103,107,304,"بعض مشاهد يوم القيامة",""
11,108,108,202,"بعض مشاهد يوم القيامة",""
11,109,109,304,"بعض مشاهد يوم القيامة",""
11,110,111,404,"تحذير من الاختلاف في القرآن كما اختلف قوم موسى في التوراة",""
11,112,115,401,"أمر النبي ﷺ والمؤمنين بالاستقامة وإقامة الصلاة والصبر",""
11,116,119,104,"سنة الله في إهلاك الأمم السابقة لظلمهم وإصرارهم",""
11,120,123,601,"من حكم القصص القرآني تثبيت فؤاد النبي ﷺ وذكرى للمؤمنين وتحذير للكافرين",""
12,1,3,601,"من صفات القرآن وتضمنه أحسن القصص",""
12,4,6,404,"رؤيا يوسف ورأي أبيه فيها",""
12,7,10,404,"يوسف وإخوته واتفاقهم على إلقائه في الجب",""
12,11,18,404,"تنفيذ كيدهم",""
12,19,20,404,"إخراج يوسف من الجب بالدلو وبيعه لأهل مصر",""
12,21,29,404,"يوسف في مصر وتعرضه لفتنة امرأة العزيز وعصمته من الفاحشة",""
12,30,35,404,"شيوع خبر امرأة العزيز في مصر وموقفها منه والحكم عليه بالسجن",""
12,36,42,404,"أحداث يوسف في السجن",""
12,43,49,404,"رؤيا ملك مصر وتأويل يوسف لها وهو في السجن",""
12,50,53,404,"الملك يطلب خروج يوسف من السجن ويوسف يرفض حتى تظهر براءته",""
12,54,57,404,"خروجه من السجن وطلبه أن يكون على خزائن الأرض في مصر وحصول ذلك له",""
12,58,62,404,"لقاء مع إخوته حيث عرفهم دون أن يعرفوه ومطالبته بأخيه منهم ورد الثمن دون علمهم",""
12,63,66,404,"إخوة يوسف يستأذنون أباهم أن يرسل معهم أخاهم بنيامين إلى مصر",""
12,67,68,404,"وصية يعقوب لأولاده",""
12,69,79,404,"رجوع إخوة يوسف إليه بصحبة أخيه الذي طلبه والمكيدة التي دبرها لاستبقائه لديه",""
12,80,82,404,"محاسبة بعضهم بعضًا ورجوع إخوة يوسف إلى أبيهم واعتذارهم عما أصيبوا به",""
12,83,86,404,"عدم تصديق يعقوب أبناءه وإصابته بالعمى لشدة حزنه ثم التجائه إلى الله",""
12,87,92,404,"يعقوب يرسل أبناءه ليبحثوا عن ولديه وتعرّفهم على يوسف واعتذارهم منه وعفوه عنهم",""
12,93,98,404,"إعطاؤهم قميصه ليشمه أبوه فيعود بصيرًا واعتذار أبنائه منه واستغفاره لهم",""
12,99,100,404,"دخول إخوته وأبويه عليه وتكريمهما وتحقيق الرؤيا بسجودهم له",""
12,101,101,404,"اعتراف يوسف بنعم الله عليه وطلبه حسن الخاتمة",""
12,102,104,401,"ذكر قصة يوسف أحد الأدلة على نبوة محمد ﷺ",""
12,105,111,305,"إعراض المشركين عن الاتعاظ بآيات الله في السماوات والأرض والرد عليهم",""
12,111,111,601,"من حكم القصص القرآني",""
13,1,4,101,"بيان أن القرآن حق وبعض الأدلة على قدرة الله تعالى على كل شيء",""
13,5,7,302,"إنكار المشركين البعث وجزاؤهم وطلبهم الآيات",""
13,8,16,102,"إحاطة علم الله وقدرته على كل شيء",""
13,17,17,701,"ضرب المثل للحق والباطل وأهله",""
13,18,18,202,"مصير المؤمنين والكافرين",""
13,19,24,202,"صفات المؤمنين وعاقبتهم",""
13,25,25,302,"صفات الكافرين وعقابهم",""
13,26,28,102,"بيان أن الرزق والهداية بيد الله بعد تعنت الكفار وطلب الآيات",""
13,29,29,202,"عاقبة المؤمنين",""
13,30,30,401,"مهمة الرسول ﷺ والقرآن الكريم",""
13,31,34,305,"الرد على الكفار الذين طلبوا الآيات ومصيرهم",""
13,35,37,202,"وصف الجنة وبيان عاقبة كل من المتقين والكافرين وتحذير النبي ﷺ من اتباعهم",""
13,38,38,401,"مخالف عن الرسل",""
13,39,39,501,"إثبات النسخ في الآيات",""
13,40,43,401,"تثبيت فؤاد النبي ﷺ بأن الله لا يغفل ولا يجهل حال المشركين",""
14,1,1,601,"القرآن منزل من الله مهمته الهداية للمؤمنين وتهديد للكافرين به",""
14,2,3,302,"القرآن منزل من الله مهمته الهداية للمؤمنين وتهديد للكافرين به",""
14,4,4,401,"لسان الرسل ووظيفتهم",""
14,5,8,404,"قصة موسى عليه السلام مع قومه",""
14,9,17,404,"من أنباء الأمم السابقة مع رسلهم",""
14,18,18,701,"ضرب المثل لأعمال الذين كفروا",""
14,19,20,101,"الخالق لكون كله هو الله وحده",""
14,21,21,302,"حوار بين أهل النار الضعفاء والمستكبرين",""
14,22,22,302,"تبرؤ الشيطان من أتباعه في النار",""
14,23,23,202,"فوز المؤمنين بالجنة",""
14,24,27,701,"ضرب مثل للكلمة الطيبة والكلمة الخبيثة",""
14,28,30,302,"الكافرون لنعمة الله ومصيرهم",""
14,31,31,202,"توجيهات للمؤمنين تحذيراً من يوم القيامة",""
14,32,34,102,"من مظاهر قدرة الله تعالى ووفرة إنعامه على عباده",""
14,32,34,103,"من مظاهر قدرة الله تعالى ووفرة إنعامه على عباده",""
14,35,41,404,"قصة مناجاة إبراهيم عليه السلام لربه سبحانه",""
14,42,52,302,"تهديد للظالمين ومشاهد من يوم القيامة",""
15,1,9,601,"القرآن الكريم وموقف المشركين منه وعنادهم وحفظ الله له",""
15,10,15,404,"شأن الأمم السابقة واللاحقة في تكذيبهم ما جاء به رسلهم",""
15,16,25,102,"من مظاهر قدرة الله تعالى ووفرة نعمه على عباده",""
15,26,41,403,"قصة خلق الإنسان والجن وسجود الملائكة لآدم وإباء إبليس ومصير من اتبعه",""
15,42,43,302,"قصة خلق الإنسان والجن وسجود الملائكة لآدم وإباء إبليس ومصير من اتبعه",""
15,44,44,403,"قصة خلق الإنسان والجن وسجود الملائكة لآدم وإباء إبليس ومصير من اتبعه",""
15,45,49,202,"ثواب المتقين يوم القيامة وما يقابله من عذابه الأليم للكافرين",""
15,50,50,302,"ثواب المتقين يوم القيامة وما يقابله من عذابه الأليم للكافرين",""
15,51,77,404,"قصة ضيف إبراهيم الملائكة وقصتهم مع لوط وإهلاك قومه",""
15,78,84,404,"قصة أصحاب الأيكة وأصحاب الحجر",""
15,85,99,401,"فضل الله تعالى على نبيه ﷺ وبعض التوجيهات والبشارات له",""
16,1,23,102,"من مظاهر وحدانية الله وقدرته في البعث والخلق ووفرة نعم الله على عباده",""
16,24,29,302,"المستكبرون وجزاؤهم في الدنيا والآخرة",""
16,30,32,202,"المتقون وجزاؤهم يوم القيامة",""
16,33,34,302,"تهديد المشركين ليتعظوا بمن قبلهم",""
16,35,40,302,"بعض ضلالات المشركين في إنكارهم البعث وغير ذلك",""
16,41,42,202,"جزاء المهاجرين",""
16,43,44,404,"حقيقة الرسل ومهمتهم",""
16,45,48,302,"تهديد للكافرين",""
16,49,50,101,"خضوع كل شيء لله تعالى",""
16,51,64,305,"الرد على المشركين في عقائدهم الفاسدة ومصيرهم",""
16,65,70,103,"نعم الله الكثيرة الدالة على قدرته على كل شيء وكفران النعم من المشركين",""
16,71,71,701,"نعم الله الكثيرة الدالة على قدرته على كل شيء وكفران النعم من المشركين",""
16,72,73,102,"نعم الله الكثيرة الدالة على قدرته على كل شيء وكفران النعم من المشركين",""
16,74,76,701,"ضرب الأمثال لتوحيد المعبودية له سبحانه",""
16,77,83,102,"نعم الله الكثيرة الدالة على إحاطة علمه وشمول قدرته وكفران النعم من المشركين",""
16,84,89,304,"بعض مشاهد يوم القيامة",""
16,90,96,202,"توجيهات للمؤمنين",""
16,97,97,202,"الحياة الحقيقية للمؤمنين الذين يعملون الصالحات",""
16,98,100,601,"الأدب في قراءة القرآن وآيات النسخ ومهمة القرآن وغربيته وتهديد المفترين عليه",""
16,101,101,501,"الأدب في قراءة القرآن وآيات النسخ ومهمة القرآن وغربيته وتهديد المفترين عليه",""
16,102,105,602,"الأدب في قراءة القرآن وآيات النسخ ومهمة القرآن وغربيته وتهديد المفترين عليه",""
16,106,109,302,"جزاء المرتدين وصفاتهم",""
16,110,111,202,"جزاء المهاجرين",""
16,112,112,701,"ضرب المثل لمن كفر النعمة",""
16,113,119,501,"الحلال طيب والحرام خبيث والتحليل والتحريم بيد الله تعالى وحده",""
16,120,123,404,"صفات إبراهيم عليه السلام ووجوب اتباع النبي ﷺ ملة إبراهيم واليهود والسبت وتهديدهم",""
16,124,124,302,"تهديدهم",""
16,125,128,401,"توجيهات للنبي ﷺ وللدعاة",""
17,1,8,404,"قصة معجزة الإسراء، وجزء من تاريخ بني إسرائيل",""
17,9,10,601,"مهمة القرآن الكريم",""
17,11,11,303,"طبيعة الإنسان",""
17,12,17,101,"آيات الله في الكون وسنته في عباده والاعتبار بمن سبق من الأمم",""
17,18,18,302,"جزاء من يريد الدنيا العاجلة",""
17,19,19,202,"جزاء من يريد الآخرة ويعمل لها",""
17,20,21,104,"سنة الله في عباده",""
17,22,41,501,"وجوب توحيد الله وبر الوالدين وصلة الأرحام ووجوب التوسط في الإنفاق وتحريم قتل الأولاد والنفس البريئة وتحريم الزنى وأكل الأموال بالباطل واتباع الظن والتكبر والشرك",""
17,42,44,305,"دليل وحدانية الله ورد على المشركين",""
17,45,48,302,"حال المشركين مع القرآن في عنادهم وسد منافذ الهداية بأيديهم",""
17,49,52,302,"إنكار المشركين للبعث والرد عليهم",""
17,53,55,202,"شرط العبودية الحق اتخاذ الشيطان عدوًا ومعرفة ربوبية الله وحده ومهمة الرسل ودرجاتهم",""
17,56,60,305,"الرد على المشركين في عقائدهم الباطلة",""
17,61,65,404,"قصة سجود الملائكة لآدم وامتناع إبليس وتوعده له ولذريته",""
17,66,70,103,"من نعم الله على عباده وإعراض المشركين وتهديدهم",""
17,71,72,304,"مشهد من مشاهد يوم القيامة",""
17,73,84,401,"محاولات المشركين فتنة النبي ﷺ عن دعوته",""
17,78,84,401,"توجيهات للنبي ﷺ",""
17,85,85,102,"توجيهات للنبي ﷺ",""
17,86,89,602,"تحدي القرآن للمشركين أن يأتوا بمثله",""
17,90,93,302,"عناد المشركين",""
17,94,100,305,"الرد على المشركين في شبهاتهم",""
17,94,100,305,"الرد على المشركين في شبهاتهم",""
17,101,104,403,"الحوار بين موسى عليه السلام وفرعون",""
17,105,109,601,"نزول القرآن مفرقًا وخضوع الذين أوتوا العلم له",""
17,110,111,105,"دعاء الله سبحانه بأسمائه الحسنى وحمده على وحدانيته",""
18,1,5,601,"من مهام القرآن الكريم",""
18,6,8,401,"حرص رسول الله ﷺ على إيمان المشركين وتهديد عن ذلك وبيان أن الدنيا دار امتحان لهم",""
18,9,27,404,"قصة أصحاب الكهف",""
18,28,28,202,"الأمر بمجالسة الصالحين ومجانبة الغافلين",""
18,29,29,302,"مصير الظالمين",""
18,30,31,202,"مصير المؤمنين",""
18,32,44,701,"ضرب مثل للمغتر بالدنيا والعارف لحقيقتها الزاهد فيها",""
18,45,46,701,"ضرب مثل لحقيقة الدنيا وفضل عمل الخير",""
18,47,49,304,"بعض مشاهد يوم القيامة",""
18,50,50,403,"قصة أمر الله الملائكة بالسجود لآدم وشق إبليس وعداوته",""
18,51,53,305,"الرد على مزاعم المشركين ومصيرهم",""
18,54,59,302,"مهمة القرآن والرسل وموقف المشركين وإمهال الله لهم لأجل مسمى",""
18,60,82,404,"قصة موسى مع الخضر عليهما السلام",""
18,60,82,404,"قصة موسى مع الخضر عليهما السلام",""
18,83,99,404,"قصة ذي القرنين ويأجوج ومأجوج وخروجهم من أشراط الساعة",""
18,100,106,302,"جزاء الكافرين يوم القيامة",""
18,107,108,202,"جزاء المؤمنين يوم القيامة",""
18,109,110,101,"كمال علم الله تعالى ووحدانيته وبشرية الرسول ﷺ",""
19,1,15,404,"قصة زكريا وبشارته بيحيى عليهما السلام",""
19,16,40,404,"قصة مريم وحملها بعيسى من غير أب عليهما السلام",""
19,41,50,404,"قصة إبراهيم عليه السلام",""
19,51,53,404,"قصة موسى وأخيه هارون عليهما السلام",""
19,54,55,404,"قصة إسماعيل عليه السلام",""
19,56,57,404,"قصة إدريس عليه السلام",""
19,58,58,404,"نعمة بعض الأنبياء وخضوعهم إلى الله جميعًا",""
19,59,59,302,"حال الأمم بعدهم من الضلالة",""
19,60,63,202,"حال المؤمنين وجزاؤهم",""
19,64,65,101,"كل شيء بأمر الله سبحانه الواحد القادر الذي يستحق العبادة وحده",""
19,66,75,302,"المنكرون للبعث وجزاؤهم وصفاتهم",""
19,76,76,202,"جزاء المهتدين العاملين للصالحات",""
19,77,95,305,"الرد على افتراءات المشركين وجزاؤهم",""
19,85,85,202,"الرد على افتراءات المشركين وجزاؤهم",""
19,86,95,305,"الرد على افتراءات المشركين وجزاؤهم",""
19,96,97,202,"جزاء المؤمنين ومهمة القرآن وإهلاك كثيرة من الأمم السابقة",""
19,98,98,404,"جزاء المؤمنين ومهمة القرآن وإهلاك كثيرة من الأمم السابقة",""
20,1,8,601,"القرآن الكريم، مهمته وصفات من أنزله",""
20,1,8,105,"القرآن الكريم، مهمته وصفات من أنزله",""
20,9,16,404,"مناجاة موسى عليه السلام ربه سبحانه في الوادي المقدس",""
20,17,36,404,"معجزات موسى عليه السلام وتكليفه بالذهاب إلى فرعون والتجائه إلى الله",""
20,37,41,404,"تذكير موسى عليه السلام بنعم الله تعالى عليه قبل النبوة",""
20,42,48,404,"التأكيد على تكليفه وأخيه هارون بالذهاب إلى فرعون ودعوته",""
20,49,55,404,"الحوار بين موسى عليه السلام وفرعون",""
20,56,76,404,"المبارزة بين موسى عليه السلام وفرعون ثم السحرة لإبطال سحرهم ثم إيمانهم بالله تعالى",""
20,77,82,404,"إغراق الله تعالى لفرعون وجنوده عند اللحاق بموسى، وامتنان الله على بني إسرائيل بذلك",""
20,83,99,404,"إضلال السامري بني إسرائيل وغضب موسى على قومه وعلى أخيه هارون",""
20,100,112,304,"جزاء المعرضين عن القرآن ومشاهد من يوم القيامة",""
20,113,114,601,"القرآن ومهمته",""
20,115,127,403,"قصة آدم وسجود الملائكة له دون إبليس وتحذير الله آدم من إبليس وقصة خروجه من الجنة وهبوطه إلى الأرض بعد الأكل من الشجرة",""
20,128,129,302,"الاعتبار بمن هلك من الأمم الماضية وعناد المشركين وتهديدهم بالعذاب",""
20,130,132,401,"توجيهات للنبي ﷺ",""
20,133,135,302,"الاعتبار بمن هلك من الأمم الماضية وعناد المشركين وتهديدهم بالعذاب",""
21,1,10,302,"يوم الحساب وتكذيب المشركين للقرآن والنبي ﷺ وعاقبة المكذبين",""
21,11,15,404,"ذكر لمصارع الأولين للاعتبار بهم",""
21,16,20,101,"حكمة الله وقدرته في خلق السماوات والأرض",""
21,21,33,101,"أدلة وحدانية الله وقدرته في خلق السماوات والأرض",""
21,34,47,302,"بعض مواقف المشركين مع النبي ﷺ وتهديدهم بعذاب الدنيا والآخرة",""
21,48,50,404,"قصة موسى وهارون عليهما السلام",""
21,51,73,404,"قصة إبراهيم عليه السلام مع قومه وهبته إسحاق ويعقوب نبيين",""
21,74,75,404,"قصة لوط عليه السلام مع قومه",""
21,76,77,404,"قصة نوح عليه السلام مع قومه وغرق المكذبين به",""
21,78,82,404,"قصة داود وسليمان عليهما السلام",""
21,83,84,404,"قصة أيوب عليه السلام",""
21,85,86,404,"قصة إسماعيل وإدريس وذي الكفل عليهم السلام",""
21,87,88,404,"قصة يونس عليه السلام",""
21,89,90,404,"قصة زكريا وبشارته بيحيى عليهما السلام",""
21,91,91,404,"قصة مريم عليها السلام",""
21,92,95,105,"كل الأنبياء يدعون لدين واحد وموقف الناس منهم وجزاء كل منهم",""
21,96,100,305,"خروج يأجوج ومأجوج من علامات الساعة وجزاء المشركين",""
21,101,103,202,"نجاة المؤمنين من فزع يوم القيامة",""
21,104,106,102,"من مظاهر قدرة الله ونعمه على عباده",""
21,104,106,103,"من مظاهر قدرة الله ونعمه على عباده",""
21,107,112,401,"صفة رسول الله ﷺ ومهمته وتهديد من أعرض عنه",""
22,1,7,304,"شدة هول يوم القيامة وأدلة قدرة الله على البعث",""
22,8,16,302,"جدال المشركين وعبادة المنافقين",""
22,17,18,102,"حكم الله بين العباد وسجود جميع المخلوقات له سبحانه",""
22,19,22,302,"الكافرون وجزاؤهم",""
22,23,24,202,"المؤمنون وجزاؤهم",""
22,23,24,202,"المؤمنون وجزاؤهم",""
22,25,29,501,"المسجد الحرام وصد المشركين عنه وعن سبيل الله والأمر بالحج إليه",""
22,30,37,501,"وجوب تعظيم حرمات الله وشعائره وخطر الشرك والتسمية عند الذبح",""
22,38,41,202,"دفاع الله عن المؤمنين ونصرهم وصفاتهم وأول مشروعية القتال",""
22,42,48,404,"هلاك الأمم السابقة لتكذيبهم رسلهم والاعتبار بهم",""
22,49,49,401,"مهمة الرسول",""
22,50,50,202,"عاقبة المؤمنين",""
22,51,51,302,"عاقبة الكافرين",""
22,52,57,302,"موقف الشيطان من الأنبياء وافتراق الناس بسببه لمؤمنين وكافرين وعاقبة كل منهم",""
22,58,60,202,"جزاء المهاجرين في سبيل الله",""
22,61,66,102,"من مظاهر قدرة الله تعالى وفضله على عباده",""
22,61,66,103,"من مظاهر قدرة الله تعالى وفضله على عباده",""
22,67,72,305,"توجيهات إلهية في كيفية محاجة المشركين",""
22,73,76,701,"ضرب مثل لأصنامهم التي يعبدونها من دون الله",""
22,77,78,202,"توجيهات إلهية للمؤمنين",""
23,1,11,202,"صفات المؤمنين وجزاؤهم",""
23,12,22,101,"من مظاهر قدرة الله في الكون وآيات البعث ومظاهر نعمه",""
23,23,30,404,"قصة نوح عليه السلام",""
23,31,44,403,"قصة هود عليه السلام على الأرجح وغيره عليهم السلام",""
23,45,50,403,"قصة موسى وأخيه هارون عليهما السلام ثم قصة عيسى عليه السلام",""
23,51,52,403,"توجيهات للرسل وبيان وحدة عقيدتهم ودعوتهم",""
23,53,56,303,"اختلاف الناس من بعد الرسل",""
23,57,62,202,"من صفات المؤمنين",""
23,63,77,302,"من صفات الكافرين وأعمالهم ووعيدهم",""
23,78,80,102,"بعض مظاهر قدرة الله تعالى",""
23,81,92,302,"إنكار المشركين للبعث والرد عليهم وإثبات الوحدانية لله تعالى",""
23,81,92,105,"إنكار المشركين للبعث والرد عليهم وإثبات الوحدانية لله تعالى",""
23,93,98,401,"توجيهات إلهية للنبي ﷺ",""
23,99,118,303,"ندم الإنسان عند الموت ومشاهد من يوم القيامة",""
24,1,2,501,"حكم الزنى",""
24,3,5,501,"حكم القذف",""
24,6,10,501,"حكم قذف الزوجة اللعان",""
24,11,22,401,"قصة الإفك",""
24,23,26,302,"جزاء القذف في الآخرة",""
24,27,29,501,"آداب دخول البيوت",""
24,30,31,501,"الأمر بغض البصر للرجال والنساء والأمر بإخفاء زينتهن",""
24,32,34,501,"الأمر بتزويج الذكور والإناث ومكاتبة الأرقاء",""
24,35,35,701,"ضرب المثل لنور الله تعالى",""
24,36,38,202,"فضل عمار المساجد وجزاؤهم",""
24,39,40,701,"ضرب المثل للكافرين وأعمالهم",""
24,41,46,101,"مظاهر قدرة الله تعالى في الكون",""
24,47,50,302,"موقف المنافقين من آيات الله تعالى",""
24,51,54,202,"طاعة المؤمنين لحكم الله",""
