id,surah_number,ayah_number,word,word_plain,meaning,sort_order,ayah_id
3491,10,60,وَمَا ظَنُّ ٱلَّذِينَ يَفۡتَرُونَ عَلَى ٱللَّهِ ٱلۡكَذِبَ,وما ظن ٱلذين يفترون على ٱلله ٱلكذب,أيُّ شيءٍ ظَنُّهم، وما يُصْنَعُ بهم فيه؟,1,20132
3492,10,61,فِي شَأۡنٖ,في شأن,في أمْرٍمن أمورِك.,1,20133
3493,10,61,شُهُودًا,شهودا,رُقَباءَ مُطَّلِعِين عليه.,2,20133
3494,10,61,تُفِيضُونَ فِيهِ,تفيضون فيه,تَشْرَعُون فيه وتَعْمَلُونه.,3,20133
3495,10,61,وَمَا يَعۡزُبُ,وما يعزب,ما يَغِيبُ ولا يَبْعُدُ.,4,20133
3496,10,61,مِثۡقَالِ ذَرَّةٖ,مثقال ذرة,وزنِ أصغرِ نملةٍ.,5,20133
3497,10,61,كِتَٰبٖ مُّبِينٍ,كتب مبين,واضحٍ، وهو اللَّوحُ المحفوظُ.,6,20133
3498,10,62,وَلَا هُمۡ يَحۡزَنُونَ,ولا هم يحزنون,على ما فاتهم من حُظوظِ الدُّنيا.,1,20134
3499,10,64,ٱلۡبُشۡرَىٰ,ٱلبشرى,البِشارةُ بما يَسُرُّهم.,1,20136
3500,10,64,لَا تَبۡدِيلَ لِكَلِمَٰتِ ٱللَّهِ,لا تبديل لكلمت ٱلله,لا إخلافَ لوَعْدِ اللهِ.,2,20136
3501,10,65,ٱلۡعِزَّةَ لِلَّهِ جَمِيعًا,ٱلعزة لله جميعا,الغَلَبَةَ، والقوةَ والقدرةَ التامةَ له تعالى.,1,20137
3502,10,66,ٱلظَّنَّ,ٱلظن,الشَّكَّ.,1,20138
3503,10,66,يَخۡرُصُونَ,يخرصون,يَكْذِبُون فيما يَنْسُبونَه إلى اللهِ.,2,20138
3504,10,67,مُبۡصِرًا,مبصرا,مُضِيئاً يُبْصِرُ فيه الناسُ.,1,20139
3505,10,67,لَأٓيَٰتٖ,لأيت,دَلالاتٍ وحججاً.,2,20139
3506,10,68,سُبۡحَٰنَهُۥ,سبحنه,تَنْزِيهاً له عَمَّا نَسَبُوه إليه.,1,20140
3507,10,68,إِنۡ عِندَكُم,إن عندكم,ليس لَدَيكم.,2,20140
3508,10,68,سُلۡطَٰنِۭ,سلطن,حُجَّةٍ وبُرهانٍ.,3,20140
3509,10,70,مَرۡجِعُهُمۡ,مرجعهم,مَصِيرُهم.,1,20142
3510,10,71,كَبُرَ عَلَيۡكُم,كبر عليكم,عَظُمَ وثَقُلَ عليكم.,1,20143
3511,10,71,مَقَامِي,مقامي,إقامتي بينكم.,2,20143
3512,10,71,وَتَذۡكِيرِي,وتذكيري,ووَعْظِي إياكم.,3,20143
3513,10,71,بِـَٔايَٰتِ ٱللَّهِ,بـايت ٱلله,بحُجَجِه وبَراهينِه.,4,20143
3514,10,71,فَعَلَى ٱللَّهِ تَوَكَّلۡتُ,فعلى ٱلله توكلت,اعتمَدْتُ وفوَّضْتُ أمري إليه.,5,20143
3515,10,71,فَأَجۡمِعُوٓاْ أَمۡرَكُمۡ,فأجمعوا أمركم,أَحْكِمُوه واعزِمُوا عليه.,6,20143
3516,10,71,وَشُرَكَآءَكُمۡ,وشركاءكم,وادْعُوا آلهتَكم؛ لنُصْرَتِكم.,7,20143
3517,10,71,غُمَّةٗ,غمة,مُسْتَتِراً خَفِيّاً.,8,20143
3518,10,71,ٱقۡضُوٓاْ إِلَيَّ,ٱقضوا إلي,افعَلُوا ما تُريدون بي من العقوبةِ.,9,20143
3519,10,71,وَلَا تُنظِرُونِ,ولا تنظرون,ولا تُمهِلُوني.,10,20143
3520,10,72,تَوَلَّيۡتُمۡ,توليتم,أعْرَضْتُم عن الإيمان.,1,20144
3521,10,73,ٱلۡفُلۡكِ,ٱلفلك,السَّفينةِ.,1,20145
3522,10,73,خَلَٰٓئِفَ,خلئف,أي: يَخْلُفُون الذين هَلَكُوا بالغَرَقِ.,2,20145
3523,10,74,بِٱلۡبَيِّنَٰتِ,بٱلبينت,بالمعجزاتِ الدالَّةِ على صِدْقِهم.,1,20146
3524,10,74,نَطۡبَعُ,نطبع,نَخْتِمُ.,2,20146
3525,10,74,ٱلۡمُعۡتَدِينَ,ٱلمعتدين,المتجاوِزين حُدودَ اللهِ.,3,20146
3526,10,75,وَمَلَإِيْهِۦ,وملإيه,أشرافِ قومِه.,1,20147
3527,10,76,ٱلۡحَقُّ,ٱلحق,المعجزاتُ التي أَظْهرها موسى عليه السلام.,1,20148
3528,10,78,لِتَلۡفِتَنَا,لتلفتنا,لتَصْرِفَنا.,1,20150
3529,10,78,ٱلۡكِبۡرِيَآءُ,ٱلكبرياء,المُلْكُ والسُّلْطانُ.,2,20150
3530,10,78,ٱلۡأَرۡضِ,ٱلأرض,أرضِ مصرَ.,3,20150
3531,10,79,سَٰحِرٍ عَلِيمٖ,سحر عليم,مُتْقِنٍ للسِّحْرِ.,1,20151
3532,10,82,وَيُحِقُّ ٱللَّهُ ٱلۡحَقَّ,ويحق ٱلله ٱلحق,يُثَبِّتُه ويُظْهِره.,1,20154
3533,10,82,بِكَلِمَٰتِهِۦ,بكلمته,بقضائِه وأمْرِه.,2,20154
3534,10,83,يَفۡتِنَهُمۡ,يفتنهم,يُعَذِّبَهم؛ ليَحْمِلَهم على الرجوعِ عن الإيمان.,1,20155
3535,10,83,لَعَالٖ,لعال,متكبِّرٌ متطاولٌ.,2,20155
3536,10,83,ٱلۡمُسۡرِفِينَ,ٱلمسرفين,المتجاوِزِين الحَدَّ في الكفرِ والفسادِ.,3,20155
3537,10,85,فِتۡنَةٗ,فتنة,موضعَ ابتلاءٍ واختبارٍ.,1,20157
3538,10,87,تَبَوَّءَا,تبوءا,اتَّخِذا.,1,20159
3539,10,87,وَٱجۡعَلُواْ بُيُوتَكُمۡ قِبۡلَةٗ,وٱجعلوا بيوتكم قبلة,أي: اجعَلُوها مساجدَ تُصَلُّون فيها عند الخوفِ.,2,20159
3540,10,88,ٱطۡمِسۡ عَلَىٰٓ أَمۡوَٰلِهِمۡ,ٱطمس على أمولهم,أهْلِكْها وأتْلِفْها.,1,20160
3541,10,88,وَٱشۡدُدۡ عَلَىٰ قُلُوبِهِمۡ,وٱشدد على قلوبهم,اخْتِمْ عليها.,2,20160
3542,10,90,وَجَٰوَزۡنَا بِبَنِيٓ إِسۡرَٰٓءِيلَ ٱلۡبَحۡرَ,وجوزنا ببني إسرءيل ٱلبحر,قَطَعْناه بهم حتى تَرَكُوه وراءَهم.,1,20162
3543,10,90,فَأَتۡبَعَهُمۡ,فأتبعهم,لَحِقَهم.,2,20162
3544,10,90,بَغۡيٗا وَعَدۡوًا,بغيا وعدوا,ظُلْماً واعتداءً.,3,20162
3545,10,90,أَدۡرَكَهُ ٱلۡغَرَقُ,أدركه ٱلغرق,أحاطَ به، وقَرُبَ هَلاكُه.,4,20162
3546,10,91,ءَآلۡـَٰٔنَ,ءالـن,آلآن تُؤْمِنُ حين نَزَلَ بك الموتُ؟,1,20163
3547,10,92,نُنَجِّيكَ,ننجيك,نَجْعَلُكَ على مُرْتفَعٍ من الأرضِ.,1,20164
3548,10,92,بِبَدَنِكَ,ببدنك,بجَسَدِك الذي لا رُوحَ فيه.,2,20164
3549,10,92,خَلۡفَكَ,خلفك,بَعْدَك من الناسِ.,3,20164
3550,10,92,ءَايَةٗ,ءاية,عِبرةً يعتبرون بك.,4,20164
3551,10,93,بَوَّأۡنَا,بوأنا,أنْزَلْنا وأسْكَنَّا.,1,20165
3552,10,93,مُبَوَّأَ صِدۡقٖ,مبوأ صدق,مَنْزلاً كريماً مختاراً.,2,20165
3553,10,93,يَقۡضِي,يقضي,يَحْكُمُ.,3,20165
3554,10,94,ٱلۡكِتَٰبَ,ٱلكتب,التوراةَ والإنجيلَ.,1,20166
3555,10,94,ٱلۡمُمۡتَرِينَ,ٱلممترين,الشاكِّين.,2,20166
3556,10,95,بِـَٔايَٰتِ ٱللَّهِ,بـايت ٱلله,بحُجَجِه وأدِلَّتِه.,1,20167
3557,10,96,حَقَّتۡ,حقت,وَجَبَتْ.,1,20168
3558,10,97,ءَايَةٍ,ءاية,عِبْرةٍ وموعظةٍ.,1,20169
3559,10,98,فَلَوۡلَا,فلولا,فهَلَّا.,1,20170
3560,10,98,ٱلۡخِزۡيِ,ٱلخزي,الذُّلِّ والهَوانِ.,2,20170
3561,10,98,إِلَىٰ حِينٖ,إلى حين,إلى وقتِ انقضاءِ آجالِهم.,3,20170
3562,10,100,ٱلرِّجۡسَ,ٱلرجس,عذابَ اللهِ وغَضَبَه.,1,20172
3563,10,101,ٱنظُرُواْ,ٱنظروا,تَفَكَّرُوا واعتَبِرُوا.,1,20173
3564,10,101,ٱلۡأٓيَٰتُ,ٱلأيت,الدلائلُ والعِبَرُ.,2,20173
3565,10,101,وَٱلنُّذُرُ,وٱلنذر,جَمْعُ نَذِير، وهم: الرسُلُ.,3,20173
3566,10,102,مِثۡلَ أَيَّامِ ٱلَّذِينَ خَلَوۡاْ مِن قَبۡلِهِمۡ,مثل أيام ٱلذين خلوا من قبلهم,مثلَ ما حَلَّ بالأممِ السابقةِ من العذابِ.,1,20174
3567,10,104,يَتَوَفَّىٰكُمۡ,يتوفىكم,يُمِيتُكم.,1,20176
3568,10,105,أَقِمۡ وَجۡهَكَ لِلدِّينِ,أقم وجهك للدين,استقِمْ على دينِ الإسلامِ مُخْلِصاً لله في عبادتِك وعَمَلِك.,1,20177
3569,10,105,حَنِيفٗا,حنيفا,مائلاً عن الأديانِ الباطلةِ.,2,20177
3570,10,106,ٱلظَّٰلِمِينَ,ٱلظلمين,المُشْركين.,1,20178
3571,10,107,بِضُرّٖ,بضر,بشدَّةٍ أو بلاءٍ.,1,20179
3572,10,107,بِخَيۡرٖ,بخير,برَخاءٍ أو نِعْمةٍ.,2,20179
3573,10,108,ٱلۡحَقُّ,ٱلحق,القرآنُ العظيمُ.,1,20180
3574,10,108,بِوَكِيلٖ,بوكيل,بحَفيظٍ أحفَظُ أمورَكم.,2,20180
3575,11,1,أُحۡكِمَتۡ ءَايَٰتُهُۥ,أحكمت ءايته,جُعِلَتْ مُحْكَمَةً مُتقنةً، لا نَقْصَ فيها ولا عَيْبَ.,1,20182
3576,11,1,فُصِّلَتۡ,فصلت,بُيِّنَتْ فيها الأحكامُ والقِصصُ والمواعظُ.,2,20182
3577,11,3,مَتَٰعًا حَسَنًا,متعا حسنا,بطِيبِ الحياةِ وسَعَةِ الرِّزقِ.,1,20184
3578,11,3,إِلَىٰٓ أَجَلٖ مُّسَمّٗى,إلى أجل مسمى,إلى وقتِ انقضاءِ آجالِكم.,2,20184
3579,11,3,فَضۡلَهُۥ,فضله,جزاءَ فَضْلِه في الدُّنيا والآخرةِ.,3,20184
3580,11,3,تَوَلَّوۡاْ,تولوا,تُعْرِضُوا.,4,20184
3581,11,5,يَثۡنُونَ صُدُورَهُمۡ,يثنون صدورهم,يَطْوُونها على الكفرِ والعَداوةِ.,1,20186
3582,11,5,يَسۡتَغۡشُونَ ثِيَابَهُمۡ,يستغشون ثيابهم,يَتَغَطَّوْن بها.,2,20186
3583,11,6,دَآبَّةٖ,دابة,كلُّ حَيَوانٍ يَمْشي على هيئتهِ على الأرضِ.,1,20187
3584,11,6,مُسۡتَقَرَّهَا,مستقرها,مكانَ استقرارِها في حياتِها وبعدَ مَماتِها.,2,20187
3585,11,6,وَمُسۡتَوۡدَعَهَا,ومستودعها,موضعَ استيداعِها بعد موتِها.,3,20187
3586,11,6,كِتَٰبٖ مُّبِينٖ,كتب مبين,واضحٍ، وهو اللَّوحُ المحفوظُ.,4,20187
3587,11,7,عَرۡشُهُۥ,عرشه,العرشُ: سريرُ المُلْكِ الذي استوى عليه الرحمنُ، وتحمِلُه الملائكةُ، وهو أعظمُ المخلوقاتِ، وهو سَقْفُ الجنَّةِ.,1,20188
3588,11,7,لِيَبۡلُوَكُمۡ,ليبلوكم,لِيَخْتَبِرَكم.,2,20188
3589,11,7,أَحۡسَنُ عَمَلٗا,أحسن عملا,أعْمَلُ بطاعةِ اللهِ وأَوْرَعُ عن مَحارمِه.,3,20188
3590,11,8,أُمَّةٖ مَّعۡدُودَةٖ,أمة معدودة,وقتٍ معلومٍ.,1,20189
3591,11,8,وَحَاقَ,وحاق,أحاطَ.,2,20189
3592,11,9,مِنَّا رَحۡمَةٗ,منا رحمة,نِعْمةً مِنْ نِعَمِنا الكثيرةِ.,1,20190
3593,11,9,نَزَعۡنَٰهَا مِنۡهُ,نزعنها منه,سَلَبْناها منه.,2,20190
3594,11,9,لَيَـُٔوسٞ,ليـوس,شديدُ اليأسِ من رحمةِ اللهِ.,3,20190
3595,11,9,كَفُورٞ,كفور,كثيرُ الجُحودِ للنِّعَمِ.,4,20190
3596,11,10,ضَرَّآءَ مَسَّتۡهُ,ضراء مسته,بَلْوى أصابَتْه.,1,20191
3597,11,10,ٱلسَّيِّـَٔاتُ,ٱلسيـات,المصائبُ والشَّدائدُ.,2,20191
3598,11,10,لَفَرِحٞ,لفرح,بَطِرٌ بالنِّعْمةِ مُغْتَرٌّ بها.,3,20191
3599,11,10,فَخُورٌ,فخور,كثيرُ التعاظُمِ على الناسِ.,4,20191
3600,11,12,بَعۡضَ مَا يُوحَىٰٓ إِلَيۡكَ,بعض ما يوحى إليك,ما يَشُقُّ على المشركين سماعُه، ويُثيرُ غضَبَهم.,1,20193
3601,11,12,أَن يَقُولُواْ,أن يقولوا,خشيةَ أن يقولوا على وجهِ التكذيبِ والاستهزاءِ.,2,20193
3602,11,12,لَوۡلَآ,لولا,هَلَّا.,3,20193
3603,11,12,وَكِيلٌ,وكيل,حفيظٌ يُدَبِّرُ جميعَ شؤونِ خَلْقهِ.,4,20193
3604,11,13,ٱفۡتَرَىٰهُ,ٱفترىه,أتى به مِنْ عندِ نفسِه.,1,20194
3605,11,13,مُفۡتَرَيَٰتٖ,مفتريت,مُخْتَلَقاتٍ من عندِ أنفسِكم.,2,20194
3606,11,13,وَٱدۡعُواْ مَنِ ٱسۡتَطَعۡتُم,وٱدعوا من ٱستطعتم,واستعينُوا بمَنْ أمكنكم الاستعانةُ به.,3,20194
3607,11,15,نُوَفِّ إِلَيۡهِمۡ أَعۡمَٰلَهُمۡ,نوف إليهم أعملهم,نُعْطِهم جزاءَ أعمالِهم في الدنيا.,1,20196
3608,11,15,لَا يُبۡخَسُونَ,لا يبخسون,لا يُنْقَصُون شيئاً ممَّا قُسِمَ لهم.,2,20196
3609,11,16,وَحَبِطَ,وحبط,بَطَلَ في الآخرةِ نَفْعُ ما عَمِلوه.,1,20197
3610,11,17,بَيِّنَةٖ مِّن رَّبِّهِۦ,بينة من ربه,حُجَّةٍ وبَصيرةٍ من اللهِ.,1,20198
3611,11,17,وَيَتۡلُوهُ,ويتلوه,يَتْبَعُه ويُقَوِّيه.,2,20198
3612,11,17,شَاهِدٞ مِّنۡهُ,شاهد منه,يَشْهَدُ على كَوْنِ القرآنِ من عندِ اللهِ.,3,20198
3613,11,17,كِتَٰبُ مُوسَىٰٓ,كتب موسى,التوراةُ.,4,20198
3614,11,17,إِمَامٗا,إماما,يُؤتَمُّ به في الدِّين، ويُقْتدَى به.,5,20198
3615,11,17,وَرَحۡمَةً,ورحمة,نِعْمَةً عظيمةً من اللهِ.,6,20198
3616,11,17,ٱلۡأَحۡزَابِ,ٱلأحزاب,الكفارِ الذين جَمَعهم تكذيبُ رسولِ اللهِ عليه الصلاة والسلام، وكَيْدُهم له.,7,20198
3617,11,17,مِرۡيَةٖ مِّنۡهُ,مرية منه,شَكٍّ من تنزيلِ القرآنِ من اللهِ.,8,20198
3618,11,18,يُعۡرَضُونَ عَلَىٰ رَبِّهِمۡ,يعرضون على ربهم,سيُعْرَضون على اللهِ في موقفِ الحسابِ.,1,20199
3619,11,18,ٱلۡأَشۡهَٰدُ,ٱلأشهد,جَمْعُ شاهِدٍ، وهم: الملائكةُ والأنبياءُ والمؤمنون.,2,20199
3620,11,18,لَعۡنَةُ ٱللَّهِ,لعنة ٱلله,الإبعَادُ عن رحمته.,3,20199
3621,11,19,يَصُدُّونَ,يصدون,يَمْنَعُون الناسَ.,1,20200
3622,11,19,سَبِيلِ ٱللَّهِ,سبيل ٱلله,الطريقِ المُوصِلَةِ إليه، وهي دينُ الإسلامِ.,2,20200
3623,11,19,وَيَبۡغُونَهَا عِوَجٗا,ويبغونها عوجا,ويُريدون أن تكونَ سبيلُ اللهِ مائلةً وَفْقَ أهوائِهم.,3,20200
3624,11,20,مُعۡجِزِينَ,معجزين,فائتين من عذابِ اللهِ بالهَرَبِ.,1,20201
3625,11,20,أَوۡلِيَآءَ,أولياء,أنصارٍ.,2,20201
3626,11,21,وَضَلَّ,وضل,ذَهَبَ.,1,20202
3627,11,21,يَفۡتَرُونَ,يفترون,يَكْذِبُون على اللهِ من ادِّعاءِ الشفعاءِ، الذين يَتَوَهَّمُون شفاعتَهم.,2,20202
3628,11,22,لَا جَرَمَ,لا جرم,حقّاً، أو لا مَحالةَ.,1,20203
3629,11,23,وَأَخۡبَتُوٓاْ إِلَىٰ رَبِّهِمۡ,وأخبتوا إلى ربهم,أنابُوا إليه وخَضَعُوا له.,1,20204
3630,11,24,ٱلۡفَرِيقَيۡنِ,ٱلفريقين,فريقَي الكُفْرِ والإيمانِ.,1,20205
3631,11,25,نَذِيرٞ مُّبِينٌ,نذير مبين,بَيِّنُ الإنذارِ بما أُرْسِلْتُ به.,1,20206
3632,11,27,ٱلۡمَلَأُ,ٱلملأ,الأشرافُ والسَّادةُ.,1,20208
3633,11,27,أَرَاذِلُنَا,أراذلنا,سَفَلَةُ الناسِ منا وفُقَراؤُنا.,2,20208
3634,11,27,بَادِيَ ٱلرَّأۡيِ,بادي ٱلرأي,أي: اتّبعُوك من غيرِ تفكيرٍ ولا رَوِيَّةٍ.,3,20208
3635,11,28,أَرَءَيۡتُمۡ,أرءيتم,أخْبِرُوني.,1,20209
3636,11,28,بَيِّنَةٖ,بينة,حُجَّةٍ وبرهانٍ، تَشْهَدُ بالنبوَّةِ.,2,20209
3637,11,28,وَءَاتَىٰنِي رَحۡمَةٗ مِّنۡ عِندِهِۦ,وءاتىني رحمة من عنده,وهي الرِّسالةُ.,3,20209
3638,11,28,فَعُمِّيَتۡ,فعميت,أُخْفِيَتْ.,4,20209
3639,11,31,خَزَآئِنُ ٱللَّهِ,خزائن ٱلله,خزائنُ رزقِه، وما لا يَصِلُ إليه عِلْمُ الناسِ.,1,20212
3640,11,31,تَزۡدَرِيٓ أَعۡيُنُكُمۡ,تزدري أعينكم,تَسْتَحْقِرُهم وتَسْتهينُ بهم.,2,20212
3641,11,31,خَيۡرًا,خيرا,توفيقاً وإيماناً وأجراً.,3,20212
3642,11,33,بِمُعۡجِزِينَ,بمعجزين,بفائتين من عذابِ اللهِ بالهَرَبِ.,1,20214
3643,11,34,يُغۡوِيَكُمۡ,يغويكم,يُضِلَّكم.,1,20215
3644,11,35,فَعَلَيَّ إِجۡرَامِي,فعلي إجرامي,فعَلَيَّ إثمي وعُقوبتُه.,1,20216
3645,11,35,مِمَّا تُجۡرِمُونَ,مما تجرمون,ممَّا تَقْترفونه من الكفرِ والتكذيب.,2,20216
3646,11,36,فَلَا تَبۡتَئِسۡ,فلا تبتئس,لا تَحْزَنْ.,1,20217
3647,11,37,ٱلۡفُلۡكَ,ٱلفلك,السَّفينةَ.,1,20218
3648,11,37,بِأَعۡيُنِنَا,بأعيننا,بمَرْأى مِنَّا وأنت في حِفْظِنا.,2,20218
3649,11,37,وَوَحۡيِنَا,ووحينا,وبأَمْرِنا لك ومَعُونَتِنا.,3,20218
3650,11,37,وَلَا تُخَٰطِبۡنِي فِي ٱلَّذِينَ ظَلَمُوٓاْ,ولا تخطبني في ٱلذين ظلموا,لا تَطْلُبْ مني إمهالَهم.,4,20218
3651,11,39,يُخۡزِيهِ,يخزيه,يُهينُه ويُذِلُّه.,1,20220
3652,11,39,وَيَحِلُّ عَلَيۡهِ,ويحل عليه,ويَنْزِلُ به.,2,20220
3653,11,39,عَذَابٞ مُّقِيمٌ,عذاب مقيم,دائمٌ لاينقطِعُ، وهو النارُ.,3,20220
3654,11,40,وَفَارَ ٱلتَّنُّورُ,وفار ٱلتنور,ونَبَعَ الماءُ بقوَّةٍ من المكانِ الذي يُخْبَزُ فيه.,1,20221
3655,11,40,مِن كُلّٖ زَوۡجَيۡنِ ٱثۡنَيۡنِ,من كل زوجين ٱثنين,من كلِّ نوعٍ من أنواعِ الحيَوَاناتِ ذكراً وأنثى.,2,20221
3656,11,40,إِلَّا مَن سَبَقَ عَلَيۡهِ ٱلۡقَوۡلُ,إلا من سبق عليه ٱلقول,إلَّا مَنْ تَقَدَّمَ حُكْمُ اللهِ عليه بأنه من المُغْرَقين.,3,20221
3657,11,41,مَجۡرٜىٰهَا,مجرىها,جَرْيُها على وجهِ الماء.,1,20222
3658,11,41,وَمُرۡسَىٰهَآ,ومرسىها,ومُنْتَهىٰ سَيْرِها.,2,20222
3659,11,42,مَعۡزِلٖ,معزل,مكانٍ عَزَلَ نفسَه فيه عن المؤمنين.,1,20223
3660,11,43,سَـَٔاوِيٓ,سـاوي,سألتجِئُ وأتحَصَّنُ.,1,20224
3661,11,43,لَا عَاصِمَ,لا عاصم,لامانعَ ولاحافِظَ.,2,20224
3662,11,44,أَقۡلِعِي,أقلعي,أَمْسِكِي عن إنزالِ المطرِ.,1,20225
3663,11,44,وَغِيضَ ٱلۡمَآءُ,وغيض ٱلماء,نَقَصَ وغارَ في الأرضِ.,2,20225
3664,11,44,وَقُضِيَ ٱلۡأَمۡرُ,وقضي ٱلأمر,تَمَّ حُكْمُ اللهِ بإهلاكِ قومِ نوحٍ.,3,20225
3665,11,44,وَٱسۡتَوَتۡ عَلَى ٱلۡجُودِيِّ,وٱستوت على ٱلجودي,استقرَّتِ السفينةُ على جَبَلِ الجوديِّ.,4,20225
3666,11,44,بُعۡدٗا,بعدا,هَلاكاً.,5,20225
3667,11,47,أَعُوذُ بِكَ,أعوذ بك,أعتصِمُ وأستجيرُ بك.,1,20228
3668,11,48,بِسَلَٰمٖ مِّنَّا,بسلم منا,بأمانٍ وسَلامةٍ منَّا.,1,20229
3669,11,48,وَبَرَكَٰتٍ عَلَيۡكَ,وبركت عليك,خيراتٍ ونِعَمٍ دائمةٍ عليك.,2,20229
3670,11,48,وَأُمَمٞ سَنُمَتِّعُهُمۡ,وأمم سنمتعهم,وهم الكفارُ.,3,20229
3671,11,50,عَادٍ,عاد,قومِ هودٍ عليه السلام، وهم قبيلةٌ من العَرَبِ.,1,20231
3672,11,50,مُفۡتَرُونَ,مفترون,كاذِبُون في إشراكِكم باللهِ.,2,20231
3673,11,51,فَطَرَنِيٓ,فطرني,خَلَقَني.,1,20232
3674,11,52,ٱلسَّمَآءَ,ٱلسماء,المطرَ.,1,20233
3675,11,52,مِدۡرَارٗا,مدرارا,كثيراً مُتتابعاً من غيرِ إضْرارٍ.,2,20233
3676,11,52,وَلَا تَتَوَلَّوۡاْ,ولا تتولوا,لا تُعْرِضُوا عَمَّا دَعَوْتُكم إليه.,3,20233
3677,11,53,بِبَيِّنَةٖ,ببينة,بحُجَّةٍ واضحةٍ.,1,20234
3678,11,53,عَن قَوۡلِكَ,عن قولك,من أجلِ قولِك.,2,20234
3679,11,54,إِن نَّقُولُ,إن نقول,ما نقولُ.,1,20235
3680,11,54,ٱعۡتَرَىٰكَ,ٱعترىك,أصابَكَ.,2,20235
3681,11,54,بِسُوٓءٖ,بسوء,بجُنونٍ؛ لنَهْيِك عن عبادتِها.,3,20235
3682,11,55,فَكِيدُونِي,فكيدوني,فاجتهِدُوا في إلحاقِ الضَّرَرِ بي.,1,20236
3683,11,55,لَا تُنظِرُونِ,لا تنظرون,لا تُمْهِلُوني بما تُريدون كيدَه.,2,20236
3684,11,56,تَوَكَّلۡتُ عَلَى ٱللَّهِ,توكلت على ٱلله,فَوَّضْتُ أمري إليه، واعتمَدْتُ عليه.,1,20237
3685,11,56,دَآبَّةٍ,دابة,كلُّ حَيَوانٍ يَمْشِي على هيئتِه على الأرضِ.,2,20237
3686,11,56,ءَاخِذُۢ بِنَاصِيَتِهَآ,ءاخذ بناصيتها,مالِكُها وقادرٌ عليها.,3,20237
3687,11,57,وَيَسۡتَخۡلِفُ رَبِّي قَوۡمًا غَيۡرَكُمۡ,ويستخلف ربي قوما غيركم,يأتي بقومٍ آخَرين بَعْدَكم.,1,20238
3688,11,57,حَفِيظٞ,حفيظ,رقيبٌ مُهَيْمِنٌ.,2,20238
3689,11,58,جَآءَ أَمۡرُنَا,جاء أمرنا,أي: بهَلاكِ قومِ هودٍ.,1,20239
3690,11,58,غَلِيظٖ,غليظ,شديدٍ، وهو الرِّيحُ الباردةُ التي أُهلِكَتْ بها عادٌ.,2,20239
3691,11,59,جَبَّارٍ,جبار,متكبِّرٍ.,1,20240
3692,11,59,عَنِيدٖ,عنيد,لا يَقْبَلُ الحقَّ ولا يَتْبَعُه.,2,20240
3693,11,60,لَعۡنَةٗ,لعنة,سُخْطاً من اللهِ، وبُعْداً من رحمتِه.,1,20241
3694,11,60,بُعۡدٗا,بعدا,هَلاكاً.,2,20241
3695,11,61,ثَمُودَ,ثمود,قومِ صالحٍ عليه السلامُ، وهم قبيلةٌ من العَرَبِ.,1,20242
3696,11,61,أَنشَأَكُم مِّنَ ٱلۡأَرۡضِ,أنشأكم من ٱلأرض,ابتدأ خَلْقَكم منها.,2,20242
3697,11,61,وَٱسۡتَعۡمَرَكُمۡ فِيهَا,وٱستعمركم فيها,جَعَلَكم عُمَّارَها وسُكَّانَها.,3,20242
3698,11,62,كُنتَ فِينَا مَرۡجُوّٗا,كنت فينا مرجوا,كُنَّا نرجو أن تكونَ فينا سَيِّداً مُطاعاً.,1,20243
3699,11,62,مُرِيبٖ,مريب,مُوقِعٍ في القلقِ وعَدَمِ الاطمئنانِ.,2,20243
3700,11,63,أَرَءَيۡتُمۡ,أرءيتم,أخْبِروني.,1,20244
3701,11,63,بَيِّنَةٖ مِّن رَّبِّي,بينة من ربي,حُجَّةٍ وبُرْهانٍ منه.,2,20244
3702,11,63,رَحۡمَةٗ,رحمة,أي: النبوَّةَ والحِكْمةَ.,3,20244
3703,11,63,تَخۡسِيرٖ,تخسير,إيقاعٍ في الخُسْرانِ وإبعادٍ عن الخير.,4,20244
3704,11,64,ءَايَةٗ,ءاية,علامةً دالَّةً على صِدْقي.,1,20245
3705,11,64,فَذَرُوهَا,فذروها,فاترُكوها.,2,20245
3706,11,64,بِسُوٓءٖ,بسوء,بأيِّ أذى.,3,20245
3707,11,65,فَعَقَرُوهَا,فعقروها,فنَحَرُوا الناقةَ.,1,20246
3708,11,65,تَمَتَّعُواْ فِي دَارِكُمۡ,تمتعوا في داركم,استَمْتِعُوا بالعيشِ في بلدِكم.,2,20246
3709,11,66,جَآءَ أَمۡرُنَا,جاء أمرنا,أي: بهَلاكِ قومِ صالحٍ.,1,20247
3710,11,66,خِزۡيِ,خزي,ذُلٍّ ومَهانَةِ.,2,20247
3711,11,67,ٱلصَّيۡحَةُ,ٱلصيحة,الصوتُ الشديدُ المُهلِكُ.,1,20248
3712,11,67,جَٰثِمِينَ,جثمين,لاصِقِين بالأرضِ على رُكَبهِم ووُجوهِهم، لا حَراكَ بهم.,2,20248
3713,11,68,كَأَن لَّمۡ يَغۡنَوۡاْ فِيهَآ,كأن لم يغنوا فيها,كأنَّ قومَ صالحٍ لم يُقيموا في ديارِهم ويَتمتَّعُوا فيها.,1,20249
3714,11,68,بُعۡدٗا,بعدا,هَلاكاً.,2,20249
3715,11,69,رُسُلُنَآ,رسلنا,الملائكةُ.,1,20250
